Source,Target,Weight,Type
brod_1,brod_2,1,undirected
brod_1,brod_3,5,undirected
brod_1,brod_4,1,undirected
brod_1,brod_5,5,undirected
brod_2,brod_1,1,undirected
brod_2,brod_3,3,undirected
brod_2,brod_4,3,undirected
brod_2,brod_5,3,undirected
brod_3,brod_1,5,undirected
brod_3,brod_2,3,undirected
brod_3,brod_4,6,undirected
brod_3,brod_5,3,undirected
brod_4,brod_1,1,undirected
brod_4,brod_2,3,undirected
brod_4,brod_3,6,undirected
brod_5,brod_1,5,undirected
brod_5,brod_2,3,undirected
brod_5,brod_3,3,undirected
hesse_1,hesse_2,2,undirected
hesse_1,hesse_3,5,undirected
hesse_1,hesse_5,1,undirected
hesse_2,hesse_1,2,undirected
hesse_2,hesse_3,6,undirected
hesse_2,hesse_4,5,undirected
hesse_2,hesse_5,3,undirected
hesse_3,hesse_1,5,undirected
hesse_3,hesse_2,6,undirected
hesse_3,hesse_4,3,undirected
hesse_3,hesse_5,3,undirected
hesse_4,hesse_2,5,undirected
hesse_4,hesse_3,3,undirected
hesse_4,hesse_5,2,undirected
hesse_5,hesse_1,1,undirected
hesse_5,hesse_2,3,undirected
hesse_5,hesse_3,3,undirected
hesse_5,hesse_4,2,undirected
kafka_1,kafka_3,1,undirected
kafka_1,kafka_4,5,undirected
kafka_1,kafka_5,4,undirected
kafka_2,kafka_3,3,undirected
kafka_2,kafka_4,4,undirected
kafka_2,kafka_5,1,undirected
kafka_3,kafka_1,1,undirected
kafka_3,kafka_2,3,undirected
kafka_3,kafka_4,2,undirected
kafka_3,kafka_5,4,undirected
kafka_4,kafka_1,5,undirected
kafka_4,kafka_2,4,undirected
kafka_4,kafka_3,2,undirected
kafka_4,kafka_5,6,undirected
kafka_5,kafka_1,4,undirected
kafka_5,kafka_2,1,undirected
kafka_5,kafka_3,4,undirected
kafka_5,kafka_4,6,undirected
leppin_1,leppin_2,2,undirected
leppin_1,leppin_4,6,undirected
leppin_1,leppin_5,5,undirected
leppin_2,leppin_1,2,undirected
leppin_2,leppin_3,6,undirected
leppin_2,leppin_4,4,undirected
leppin_2,leppin_5,1,undirected
leppin_3,leppin_2,6,undirected
leppin_3,leppin_4,2,undirected
leppin_3,leppin_5,4,undirected
leppin_4,leppin_1,6,undirected
leppin_4,leppin_2,4,undirected
leppin_4,leppin_3,2,undirected
leppin_5,leppin_1,5,undirected
leppin_5,leppin_2,1,undirected
leppin_5,leppin_3,4,undirected
mann_1,mann_3,3,undirected
mann_1,mann_4,6,undirected
mann_1,mann_5,4,undirected
mann_2,mann_3,5,undirected
mann_2,mann_4,3,undirected
mann_2,mann_5,6,undirected
mann_3,mann_1,3,undirected
mann_3,mann_2,5,undirected
mann_3,mann_5,2,undirected
mann_4,mann_1,6,undirected
mann_4,mann_2,3,undirected
mann_4,mann_5,1,undirected
mann_5,mann_1,4,undirected
mann_5,mann_2,6,undirected
mann_5,mann_3,2,undirected
mann_5,mann_4,1,undirected
meyrink_1,meyrink_2,5,undirected
meyrink_1,meyrink_4,1,undirected
meyrink_1,meyrink_5,2,undirected
meyrink_2,meyrink_1,5,undirected
meyrink_2,meyrink_3,1,undirected
meyrink_2,meyrink_4,5,undirected
meyrink_2,meyrink_5,2,undirected
meyrink_3,meyrink_2,1,undirected
meyrink_3,meyrink_4,3,undirected
meyrink_3,meyrink_5,5,undirected
meyrink_4,meyrink_1,1,undirected
meyrink_4,meyrink_2,5,undirected
meyrink_4,meyrink_3,3,undirected
meyrink_4,meyrink_5,6,undirected
meyrink_5,meyrink_1,2,undirected
meyrink_5,meyrink_2,2,undirected
meyrink_5,meyrink_3,5,undirected
meyrink_5,meyrink_4,6,undirected
musil_1,musil_2,4,undirected
musil_1,musil_3,1,undirected
musil_1,musil_4,4,undirected
musil_1,musil_5,4,undirected
musil_2,musil_1,4,undirected
musil_2,musil_3,5,undirected
musil_2,musil_4,1,undirected
musil_2,musil_5,6,undirected
musil_3,musil_1,1,undirected
musil_3,musil_2,5,undirected
musil_3,musil_5,3,undirected
musil_4,musil_1,4,undirected
musil_4,musil_2,1,undirected
musil_4,musil_5,2,undirected
musil_5,musil_1,4,undirected
musil_5,musil_2,6,undirected
musil_5,musil_3,3,undirected
musil_5,musil_4,2,undirected
rilke_1,rilke_2,2,undirected
rilke_1,rilke_3,5,undirected
rilke_1,rilke_4,6,undirected
rilke_1,rilke_5,3,undirected
rilke_2,rilke_1,2,undirected
rilke_2,rilke_3,4,undirected
rilke_2,rilke_5,1,undirected
rilke_3,rilke_1,5,undirected
rilke_3,rilke_2,4,undirected
rilke_3,rilke_4,3,undirected
rilke_3,rilke_5,1,undirected
rilke_4,rilke_1,6,undirected
rilke_4,rilke_3,3,undirected
rilke_4,rilke_5,5,undirected
rilke_5,rilke_1,3,undirected
rilke_5,rilke_2,1,undirected
rilke_5,rilke_3,1,undirected
rilke_5,rilke_4,5,undirected
schnitzler_1,schnitzler_2,5,undirected
schnitzler_1,schnitzler_3,3,undirected
schnitzler_1,schnitzler_4,6,undirected
schnitzler_1,schnitzler_5,4,undirected
schnitzler_2,schnitzler_1,5,undirected
schnitzler_2,schnitzler_3,1,undirected
schnitzler_2,schnitzler_5,2,undirected
schnitzler_3,schnitzler_1,3,undirected
schnitzler_3,schnitzler_2,1,undirected
schnitzler_3,schnitzler_4,2,undirected
schnitzler_3,schnitzler_5,4,undirected
schnitzler_4,schnitzler_1,6,undirected
schnitzler_4,schnitzler_3,2,undirected
schnitzler_4,schnitzler_5,3,undirected
schnitzler_5,schnitzler_1,4,undirected
schnitzler_5,schnitzler_2,2,undirected
schnitzler_5,schnitzler_3,4,undirected
schnitzler_5,schnitzler_4,3,undirected
werfel_1,werfel_2,1,undirected
werfel_1,werfel_3,4,undirected
werfel_1,werfel_4,2,undirected
werfel_2,werfel_1,1,undirected
werfel_2,werfel_3,1,undirected
werfel_2,werfel_4,4,undirected
werfel_2,werfel_5,5,undirected
werfel_3,werfel_1,4,undirected
werfel_3,werfel_2,1,undirected
werfel_3,werfel_4,3,undirected
werfel_3,werfel_5,4,undirected
werfel_4,werfel_1,2,undirected
werfel_4,werfel_2,4,undirected
werfel_4,werfel_3,3,undirected
werfel_4,werfel_5,6,undirected
werfel_5,werfel_2,5,undirected
werfel_5,werfel_3,4,undirected
werfel_5,werfel_4,6,undirected
zweig_1,zweig_2,6,undirected
zweig_1,zweig_3,3,undirected
zweig_1,zweig_4,1,undirected
zweig_1,zweig_5,4,undirected
zweig_2,zweig_1,6,undirected
zweig_2,zweig_3,2,undirected
zweig_2,zweig_4,5,undirected
zweig_3,zweig_1,3,undirected
zweig_3,zweig_2,2,undirected
zweig_3,zweig_5,6,undirected
zweig_4,zweig_1,1,undirected
zweig_4,zweig_2,5,undirected
zweig_4,zweig_5,3,undirected
zweig_5,zweig_1,4,undirected
zweig_5,zweig_3,6,undirected
zweig_5,zweig_4,3,undirected
